word	count
(and	1
(part	1
(which	1
8,	1
And	1
Are	1
Bob	1
Bob’s	1
By	1
English	2
English	2
For	1
Given	1
In	1
Kidding	1
Perhaps	1
QA	1
Some	1
Though	1
Well,	1
a	4
a	4
a	4
a	4
ability	1
able	1
about	2
about	2
addressed	1
all	1
an	1
analysis	2
analysis	2
analyze	1
and	10
and	10
and	10
and	10
and	10
and	10
and	10
and	10
and	10
and	10
answer	1
any	1
appli-	1
application.	1
applications	2
applications	2
as	6
as	6
as	6
as	6
as	6
as	6
aside,	1
assessing	1
at	1
attributes.	1
basics	1
be	5
be	5
be	5
be	5
be	5
because	1
been	1
better	1
beyond.	1
blocks,	1
build	2
build	2
building	2
building	2
by	1
can	1
cations	1
chapter	1
class	1
clauses.	1
common	1
computer	1
concepts	1
consists	1
dangling	1
days	1
diagramming	1
discuss-	1
dissect	1
each	2
each	2
easier	1
encourage	1
establish	1
explain	1
explicitly	2
explicitly	2
features	1
few	1
for	5
for	5
for	5
for	5
for	5
foundation	1
foundation,	1
function	1
good	1
grammar	1
granted,	1
harness	1
have	1
high	2
high	2
how	3
how	3
how	3
identifying	1
in	10
in	10
in	10
in	10
in	10
in	10
in	10
in	10
in	10
in	10
individual	1
information,	1
ing	1
inherent	1
instance,	1
into	1
is	2
is	2
issues	1
it	3
it	3
it	3
kind	1
know	2
know	2
language	2
language	2
later	1
later,	1
like	2
like	2
likely	1
long	1
look	2
look	2
luck,	1
make	1
many	1
miss	1
modifiers.	1
more	1
must	2
must	2
name	1
need	6
need	6
need	6
need	6
need	6
need	6
next	1
nouns)	1
occur	1
of	9
of	9
of	9
of	9
of	9
of	9
of	9
of	9
of	9
off	1
old	1
one	1
only	1
or	1
order	1
order).	1
other	1
others	2
others	2
out	1
part	1
phrases	1
pining	1
plays	1
proper	1
question	2
question	2
raw	1
recalling	1
relate	1
relation-	1
requires	1
role	1
run,	1
same	1
school	2
school	2
school?	1
sections	1
sentence	2
sentence	2
sentences,	1
shared	1
ships,	1
some	1
speech)	1
split	1
state	1
strings	1
subject-verb	1
system	1
system.	1
tagged	1
take	2
take	2
taking	1
text	2
text	2
text.	1
that	6
that	6
that	6
that	6
that	6
that	6
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
the	17
their	1
them	1
then	2
then	2
these	3
these	3
these	3
they	1
things	2
things	2
thinking	1
this	2
this	2
those	1
though	1
to	10
to	10
to	10
to	10
to	10
to	10
to	10
to	10
to	10
to	10
told	1
trade-offs	1
two.	1
uncle	1
uncle?”	1
understand	1
up	1
usage,	1
via	1
vocabulary	1
watching	1
we	2
we	2
well	2
well	2
we’re	1
what	1
when	1
whereas	1
will	4
will	4
will	4
will	4
won’t.	1
words	4
words	4
words	4
words	4
works,	1
you	5
you	5
you	5
you	5
you	5
your	1
you’ll	4
you’ll	4
you’ll	4
you’ll	4
you’re	1
“Who	1
